127.0.0.1 - - [15/Mar/2018:20:46:08 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /eStore/ HTTP/1.1" 200 10761
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /eStore/resoureces/css/carousel.css;jsessionid=DAD91BAA4AC6B877EEAFFCF827B5BC5E%22 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /eStore/resoureces/css/main.css;jsessionid=DAD91BAA4AC6B877EEAFFCF827B5BC5E%22 HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /assets/js/vendor/holder.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /eStore/resources/css/bootstrap.min.css;jsessionid=DAD91BAA4AC6B877EEAFFCF827B5BC5E HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /eStore/resources/js/bootstrap.min.js;jsessionid=DAD91BAA4AC6B877EEAFFCF827B5BC5E HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /assets/js/vendor/holder.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:30 +0900] "GET /eStore/products HTTP/1.1" 200 3813
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:30 +0900] "GET /eStore/resoureces/css/carousel.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:30 +0900] "GET /eStore/resources/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:30 +0900] "GET /assets/js/vendor/holder.min.js HTTP/1.1" 404 1116
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:30 +0900] "GET /eStore/resoureces/css/main.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:30 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [15/Mar/2018:20:46:30 +0900] "GET /eStore/resources/css/bootstrap.min.css HTTP/1.1" 200 144877
